id,longId,mid,eventId,definitionId,definitionName,eventName,contactKey,entrySource,epochTimeInMilliseconds,transactionTime,status,clientStatus,message,activityId,activityType,activityName,definitionInstanceId,createdDate,activityBatchInstanceId,eid,startDate,endDate,outcomeActivityId,sourceType,result.status,result.messages,_score,messageSource
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423543479,2024-06-03T14:05:43.479Z,Waiting,EnteredWait,,de4b50f9-3f87-418d-a5d9-cad016cdd0e2,WaitActivity,1 day,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:05:43.479-06:00,b9690b0b-1825-4512-8b0c-d9864a8dfbcf,500009930,2024-06-03T08:05:43.448-06:00,2024-06-03T08:05:43.479-06:00,bfae4ce4-64ef-4ecf-8e71-2e676acad941,0,Wait,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423543433,2024-06-03T14:05:43.433Z,Complete,Success,,74ac5403-de45-45e3-9bda-8c2ed859685c,SALESCLOUDACTIVITY,🤖END_CONTACTJOURNEY(Remainder),c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:05:43.433-06:00,b9690b0b-1825-4512-8b0c-d9864a8dfbcf,500009930,2024-06-03T08:05:43.417-06:00,2024-06-03T08:05:43.433-06:00,de4b50f9-3f87-418d-a5d9-cad016cdd0e2,0,Continue,"[
  {
    ""level"": ""Info"",
    ""errorCode"": ""SALESCLOUD_SalesforceObjectId"",
    ""message"": ""a1kIf00000036CLIAY"",
    ""type"": ""User"",
    ""parameters"": {
      ""salesforceObjectId"": ""a1kIf00000036CLIAY""
    }
  }
]",0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423543417,2024-06-03T14:05:43.417Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:05:43.417-06:00,b9690b0b-1825-4512-8b0c-d9864a8dfbcf,500009930,2024-06-03T08:05:43.276-06:00,2024-06-03T08:05:43.417-06:00,74ac5403-de45-45e3-9bda-8c2ed859685c,0,Continue,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423383111,2024-06-03T14:03:03.111Z,Waiting,EnteredWait,,74ac5403-de45-45e3-9bda-8c2ed859685c,SALESCLOUDACTIVITY,🤖END_CONTACTJOURNEY(Remainder),c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:03.111-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:03.08-06:00,2024-06-03T08:03:03.111-06:00,de4b50f9-3f87-418d-a5d9-cad016cdd0e2,0,Wait,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423383064,2024-06-03T14:03:03.064Z,Complete,Success,,f525b69d-acce-463c-a24c-5eca9358be14,UPDATECONTACTDATA,IN_PETITION=FALSE,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:03.064-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:03.017-06:00,2024-06-03T08:03:03.064-06:00,74ac5403-de45-45e3-9bda-8c2ed859685c,0,Continue,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423383002,2024-06-03T14:03:03.002Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:03.002-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:03.002-06:00,2024-06-03T08:03:03.002-06:00,f525b69d-acce-463c-a24c-5eca9358be14,0,Continue,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423382986,2024-06-03T14:03:02.986Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:02.986-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:02.986-06:00,2024-06-03T08:03:02.986-06:00,00000000-0000-0000-0000-000000000000,0,Continue,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423382939,2024-06-03T14:03:02.939Z,Complete,ExitedWait,,2f0e8078-0f5c-4e40-819c-a9840a4cbcf1,WaitActivity,14 days,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:02.939-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:02.939-06:00,2024-06-03T08:03:02.939-06:00,00000000-0000-0000-0000-000000000000,0,ComingOffWait,[],0,1
5548518,5548518,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000Edir6AAB,SourceQueueSlotWorker.ProcessItem,1717423382924,2024-06-03T14:03:02.924Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,c591e5a4-b638-4df0-b50d-f3aa78a17880,2024-06-03T08:03:02.924-06:00,c0dd4f6d-3c78-43c0-86c2-7180d8318f94,500009930,2024-06-03T08:03:02.83-06:00,2024-06-03T08:03:02.924-06:00,2f0e8078-0f5c-4e40-819c-a9840a4cbcf1,0,Continue,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402696447,2024-06-03T08:18:16.447Z,Waiting,EnteredWait,,ca74e55b-81e2-4da0-b094-e44fff3b8651,WaitActivity,1 day,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:18:16.447-06:00,45533bed-39ae-4f68-b841-0605151a0da9,500009930,2024-06-03T02:18:16.416-06:00,2024-06-03T02:18:16.447-06:00,4b758019-e6de-4f63-a5e4-65d4b7ca19b8,0,Wait,[],0,1
